Date,Price,Open,High,Low,Vol.,Change %
2003-11-11,787.77,788.34,790.11,782.03,504.10M,-1.10%
2003-11-10,796.56,800.98,802.32,788.65,537.18M,-0.93%
2003-11-07,804.05,796.58,804.05,789.97,469.09M,1.77%
2003-11-06,790.04,809.92,811.97,790.04,610.74M,-1.92%
2003-11-05,805.51,796.36,806.79,794.58,604.29M,1.19%
2003-11-04,796.06,800.42,802.66,790.99,606.37M,0.52%
2003-11-03,791.96,783.08,793.53,778.04,434.45M,1.23%
2003-10-31,782.36,787.95,789.46,775.38,484.31M,-0.46%
2003-10-30,785.94,784.78,787.82,778.42,471.88M,0.81%
2003-10-29,779.66,787.61,793.35,779.66,567.93M,0.55%
2003-10-28,775.36,760.8,782.31,759.56,491.64M,1.81%
2003-10-27,761.61,752.82,761.61,750.5,412.85M,1.80%
2003-10-24,748.17,752.31,759.55,743.38,362.66M,-0.79%
2003-10-23,754.14,764.36,768.31,750.16,428.50M,-3.23%
2003-10-22,779.28,780.54,784.14,773.3,486.36M,-0.08%
2003-10-21,779.89,780.56,785.02,772.91,448.31M,0.44%
2003-10-20,776.44,766.33,777.97,765.13,473.20M,1.13%
2003-10-17,767.75,776.99,783.08,767.75,519.24M,-1.19%
2003-10-16,776.97,759.12,776.97,758.07,519.72M,1.67%
2003-10-15,764.23,771.38,773.13,759.86,462.56M,-0.30%
2003-10-14,766.52,763.62,772.29,762.96,529.58M,1.25%
2003-10-13,757.02,754.5,764.33,747.02,453.89M,-0.11%
2003-10-10,757.89,735.25,759.6,735.25,445.80M,2.95%
2003-10-09,736.16,723.13,736.16,722.94,603.00M,1.85%
2003-10-08,722.76,731.12,731.45,721.29,316.71M,-0.60%
2003-10-07,727.09,725.21,727.37,722.38,402.77M,0.55%
2003-10-06,723.13,723.47,726.77,719.33,393.28M,1.10%
2003-10-02,715.24,716.27,718.36,708.03,451.45M,1.55%
2003-10-01,704.29,690.47,704.29,688.62,434.30M,0.97%
2003-09-30,697.52,701.75,709.16,697.52,461.26M,0.21%
2003-09-29,696.06,697.26,698.77,688.07,379.96M,-0.19%
2003-09-26,697.4,704.01,711.5,697.13,431.81M,-2.26%
2003-09-25,713.52,707.58,714.56,699.83,412.76M,-1.54%
2003-09-24,724.7,721.0,725.49,715.86,419.84M,0.82%
2003-09-23,718.84,713.67,719.71,702.31,475.53M,0.55%
2003-09-22,714.89,741.54,741.68,714.75,426.50M,-4.46%
2003-09-19,748.25,766.23,767.05,745.16,443.02M,-1.31%
2003-09-18,758.18,768.39,769.28,756.73,411.54M,-1.10%
2003-09-17,766.59,771.61,772.35,764.46,469.80M,0.39%
2003-09-16,763.63,751.95,764.12,751.53,479.46M,1.33%
2003-09-15,753.61,764.68,767.27,753.61,411.24M,-1.80%
2003-09-09,767.46,763.36,775.88,763.36,408.45M,0.95%
2003-09-08,760.25,759.49,761.91,756.01,343.38M,-0.17%
2003-09-05,761.55,766.43,768.9,759.81,376.79M,-0.34%
2003-09-04,764.15,768.1,769.98,763.87,407.01M,-0.28%
2003-09-03,766.32,770.87,771.78,763.35,424.95M,-0.02%
2003-09-02,766.5,768.43,768.91,763.34,493.04M,0.31%
2003-09-01,764.11,763.22,765.64,759.36,370.54M,0.61%
2003-08-29,759.47,756.76,760.09,746.92,431.26M,0.88%
2003-08-28,752.81,763.46,765.27,749.34,461.04M,-0.81%
2003-08-27,758.98,757.72,763.99,756.04,497.01M,0.79%
2003-08-26,753.0,754.23,755.63,749.2,426.88M,-0.49%
2003-08-25,756.73,754.17,760.85,752.34,419.63M,0.27%
2003-08-22,754.72,754.88,759.15,751.7,506.64M,0.05%
2003-08-21,754.34,741.7,754.34,741.7,534.41M,2.33%
2003-08-20,737.2,740.44,745.03,736.64,497.97M,-0.40%
2003-08-19,740.13,745.65,745.77,738.0,614.97M,1.37%
2003-08-18,730.1,728.92,734.81,727.56,498.36M,0.43%
2003-08-14,727.01,714.2,727.01,713.46,482.91M,1.95%
2003-08-13,713.08,705.58,713.81,704.93,407.92M,1.68%
2003-08-12,701.3,707.01,708.08,699.94,366.11M,-0.47%
2003-08-11,704.58,700.41,704.59,693.7,398.68M,0.06%
2003-08-08,704.14,710.54,712.31,704.14,418.31M,-0.80%
2003-08-07,709.81,709.57,709.82,703.05,412.24M,0.27%
2003-08-06,707.88,710.87,713.32,705.86,464.49M,-1.93%
2003-08-05,721.84,723.15,726.3,720.64,481.03M,0.46%
2003-08-04,718.54,719.57,724.17,717.46,439.40M,-1.20%
2003-08-01,727.26,718.84,728.38,718.25,457.00M,1.93%
2003-07-31,713.52,716.5,718.49,710.01,388.89M,-0.09%
2003-07-30,714.15,721.66,724.23,714.07,502.18M,-1.13%
2003-07-29,722.33,718.42,722.47,715.01,566.86M,0.63%
2003-07-28,717.8,715.44,719.21,714.42,466.94M,1.80%
2003-07-25,705.09,698.53,705.6,696.64,489.04M,0.31%
2003-07-24,702.94,693.15,705.53,690.59,732.72M,1.03%
2003-07-23,695.74,702.71,703.82,693.04,571.57M,-0.57%
2003-07-22,699.7,691.43,699.99,691.43,707.48M,0.89%
2003-07-21,693.5,699.12,702.84,692.12,662.57M,-0.84%
2003-07-18,699.35,700.52,707.43,697.67,546.27M,-2.39%
2003-07-16,716.48,720.89,722.85,709.55,589.35M,0.42%
2003-07-15,713.45,723.08,724.53,712.36,719.79M,-0.92%
2003-07-14,720.1,709.09,720.59,705.4,559.54M,2.27%
2003-07-11,704.15,694.14,704.54,691.59,560.48M,0.52%
2003-07-10,700.51,701.43,710.26,700.49,577.87M,-0.71%
2003-07-09,705.5,708.55,710.28,704.34,543.85M,-0.40%
2003-07-08,708.34,715.54,715.8,706.12,568.61M,0.58%
2003-07-07,704.29,699.32,704.31,696.76,439.45M,1.59%
2003-07-04,693.25,687.03,693.95,684.64,442.80M,0.93%
2003-07-03,686.83,696.54,699.34,684.94,544.33M,0.15%
2003-07-02,685.8,682.57,687.04,680.68,482.62M,1.64%
2003-07-01,674.75,666.45,674.75,663.35,344.51M,0.72%
2003-06-30,669.93,673.66,674.9,666.91,320.73M,-1.09%
2003-06-27,677.28,682.14,686.18,675.48,486.11M,0.23%
2003-06-26,675.75,668.32,679.57,667.72,461.92M,0.26%
